MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T00001,Diclofenac 250 mg (Viên nén - Lot 569),Diclofenac 250 mg (Vien nen - Lot 569),Chai,55720
T00002,Prednisolone 100 mg (Stada - Lot 805),Prednisolone 100 mg (Stada - Lot 805),Chai,482530
T00003,Diazepam 1000 IU (Stada - Lot 854),Diazepam 1000 IU (Stada - Lot 854),Hộp,482890
T00004,Losartan 5 mg (Stada - Lot 802),Losartan 5 mg (Stada - Lot 802),Tuýp,448640
T00005,Giảm Đau 250 mg (Stada - Lot 569),Giam Dau 250 mg (Stada - Lot 569),Chai,5090
T00006,Loratadine 100 mg (Mekophar - Lot 130),Loratadine 100 mg (Mekophar - Lot 130),Gói,241000
T00007,Paracetamol 5 mg (Stada - Lot 864),Paracetamol 5 mg (Stada - Lot 864),Viên nang,170480
T00008,Atorvastatin 5 mg (Viên nén - Lot 522),Atorvastatin 5 mg (Vien nen - Lot 522),Ống tiêm,325560
T00009,Loratadine 250 mg (Mekophar - Lot 582),Loratadine 250 mg (Mekophar - Lot 582),Chai,297980
T00010,Levothyroxine 5 mg (Stada - Lot 953),Levothyroxine 5 mg (Stada - Lot 953),Viên nang,427140
T00011,Chống Viêm 5 mg (Mekophar - Lot 716),Chong Viem 5 mg (Mekophar - Lot 716),Ống tiêm,325740
T00012,Chống Viêm 10 mg (Mekophar - Lot 904),Chong Viem 10 mg (Mekophar - Lot 904),Ống tiêm,361820
T00013,Aspirin 100 mg (Viên nén - Lot 873),Aspirin 100 mg (Vien nen - Lot 873),Hộp,316580
T00014,Diclofenac 100 mg (Mekophar - Lot 303),Diclofenac 100 mg (Mekophar - Lot 303),Hộp,299060
T00015,Omeprazole 5 ml (Stada - Lot 622),Omeprazole 5 ml (Stada - Lot 622),Viên nén,274100
T00016,Giảm Đau 500 mg (Viên nén - Lot 450),Giam Dau 500 mg (Vien nen - Lot 450),Tuýp,11600
T00017,Levothyroxine 1000 IU (Stada - Lot 640),Levothyroxine 1000 IU (Stada - Lot 640),Viên nang,250670
T00018,Metformin 10 mg (Mekophar - Lot 554),Metformin 10 mg (Mekophar - Lot 554),Gói,162340
T00019,Omeprazole 500 mg (Viên nén - Lot 886),Omeprazole 500 mg (Vien nen - Lot 886),Viên nén,264350
T00020,Doxycycline 100 mg (Mekophar - Lot 610),Doxycycline 100 mg (Mekophar - Lot 610),Chai,472690
T00021,Fluconazole 500 mg (Stada - Lot 280),Fluconazole 500 mg (Stada - Lot 280),Ống tiêm,233630
T00022,Loratadine 100 mg (Mekophar - Lot 989),Loratadine 100 mg (Mekophar - Lot 989),Tuýp,91590
T00023,Prednisolone 5 mg (Mekophar - Lot 257),Prednisolone 5 mg (Mekophar - Lot 257),Hộp,342430
T00024,Chống Viêm 5 ml (Domesco - Lot 313),Chong Viem 5 ml (Domesco - Lot 313),Chai,487320
T00025,Amoxicillin 500 mg (Viên nén - Lot 544),Amoxicillin 500 mg (Vien nen - Lot 544),Tuýp,454440
T00026,Furosemide 500 mg (Stada - Lot 304),Furosemide 500 mg (Stada - Lot 304),Gói,282100
T00027,Vitamin C 10 mg (Stada - Lot 461),Vitamin C 10 mg (Stada - Lot 461),Viên nang,495140
T00028,Captopril 500 mg (Stada - Lot 100),Captopril 500 mg (Stada - Lot 100),Ống tiêm,280420
T00029,Levothyroxine 10 mg (Stada - Lot 953),Levothyroxine 10 mg (Stada - Lot 953),Gói,182930
T00030,Omeprazole 10 mg (Domesco - Lot 865),Omeprazole 10 mg (Domesco - Lot 865),Hộp,455070
T00031,Omeprazole 100 mg (Viên nén - Lot 117),Omeprazole 100 mg (Vien nen - Lot 117),Viên nén,15280
T00032,Losartan 5 ml (Stada - Lot 774),Losartan 5 ml (Stada - Lot 774),Viên nén,248080
T00033,Cefuroxim 100 mg (Viên nén - Lot 361),Cefuroxim 100 mg (Vien nen - Lot 361),Viên nén,182770
T00034,Fluconazole 10 mg (Mekophar - Lot 740),Fluconazole 10 mg (Mekophar - Lot 740),Tuýp,169500
T00035,Cefuroxim 250 mg (Stada - Lot 553),Cefuroxim 250 mg (Stada - Lot 553),Viên nang,471420
T00036,Atorvastatin 100 mg (Domesco - Lot 129),Atorvastatin 100 mg (Domesco - Lot 129),Chai,340690
T00037,Furosemide 500 mg (Viên nén - Lot 669),Furosemide 500 mg (Vien nen - Lot 669),Ống tiêm,136710
T00038,Fluconazole 500 mg (Domesco - Lot 299),Fluconazole 500 mg (Domesco - Lot 299),Viên nang,328800
T00039,Losartan 100 mg (Mekophar - Lot 351),Losartan 100 mg (Mekophar - Lot 351),Viên nang,316000
T00040,Pantoprazole 1000 IU (Viên nén - Lot 307),Pantoprazole 1000 IU (Vien nen - Lot 307),Viên nén,109660
T00041,Hạ Sốt 250 mg (Domesco - Lot 646),Ha Sot 250 mg (Domesco - Lot 646),Gói,182710
T00042,Atorvastatin 250 mg (Viên nén - Lot 771),Atorvastatin 250 mg (Vien nen - Lot 771),Hộp,275200
T00043,Atorvastatin 500 mg (Domesco - Lot 166),Atorvastatin 500 mg (Domesco - Lot 166),Ống tiêm,187620
T00044,Doxycycline 1000 IU (Viên nén - Lot 457),Doxycycline 1000 IU (Vien nen - Lot 457),Gói,333880
T00045,Doxycycline 5 ml (Viên nén - Lot 428),Doxycycline 5 ml (Vien nen - Lot 428),Chai,117580
T00046,Atorvastatin 5 ml (Domesco - Lot 603),Atorvastatin 5 ml (Domesco - Lot 603),Chai,476410
T00047,Omeprazole 1000 IU (Viên nén - Lot 651),Omeprazole 1000 IU (Vien nen - Lot 651),Gói,272280
T00048,Losartan 1000 IU (Viên nén - Lot 498),Losartan 1000 IU (Vien nen - Lot 498),Chai,110530
T00049,Metformin 500 mg (Domesco - Lot 765),Metformin 500 mg (Domesco - Lot 765),Viên nang,225580
T00050,Vitamin C 5 ml (Viên nén - Lot 341),Vitamin C 5 ml (Vien nen - Lot 341),Viên nang,332880
T00051,Fluconazole 5 mg (Stada - Lot 399),Fluconazole 5 mg (Stada - Lot 399),Tuýp,18040
T00052,Vitamin C 1000 IU (Mekophar - Lot 133),Vitamin C 1000 IU (Mekophar - Lot 133),Ống tiêm,338220
T00053,Fluconazole 10 mg (Domesco - Lot 542),Fluconazole 10 mg (Domesco - Lot 542),Hộp,332090
T00054,Prednisolone 1000 IU (Viên nén - Lot 579),Prednisolone 1000 IU (Vien nen - Lot 579),Viên nén,289260
T00055,Loratadine 5 mg (Stada - Lot 360),Loratadine 5 mg (Stada - Lot 360),Gói,12720
T00056,Fluconazole 100 mg (Viên nén - Lot 455),Fluconazole 100 mg (Vien nen - Lot 455),Ống tiêm,20300
T00057,Levothyroxine 5 ml (Stada - Lot 578),Levothyroxine 5 ml (Stada - Lot 578),Viên nén,17540
T00058,Doxycycline 10 mg (Mekophar - Lot 787),Doxycycline 10 mg (Mekophar - Lot 787),Hộp,195360
T00059,Captopril 5 mg (Stada - Lot 852),Captopril 5 mg (Stada - Lot 852),Hộp,406030
T00060,Aspirin 5 mg (Domesco - Lot 985),Aspirin 5 mg (Domesco - Lot 985),Gói,258690
T00061,Ibuprofen 100 mg (Mekophar - Lot 261),Ibuprofen 100 mg (Mekophar - Lot 261),Viên nang,410270
T00062,Metformin 1000 IU (Domesco - Lot 443),Metformin 1000 IU (Domesco - Lot 443),Viên nang,176920
T00063,Amoxicillin 100 mg (Domesco - Lot 692),Amoxicillin 100 mg (Domesco - Lot 692),Chai,405300
T00064,Chống Viêm 100 mg (Mekophar - Lot 379),Chong Viem 100 mg (Mekophar - Lot 379),Tuýp,160370
T00065,Losartan 100 mg (Stada - Lot 511),Losartan 100 mg (Stada - Lot 511),Chai,361630
T00066,Metformin 1000 IU (Viên nén - Lot 777),Metformin 1000 IU (Vien nen - Lot 777),Hộp,496660
T00067,Diazepam 5 ml (Stada - Lot 837),Diazepam 5 ml (Stada - Lot 837),Ống tiêm,149820
T00068,Loratadine 5 ml (Domesco - Lot 509),Loratadine 5 ml (Domesco - Lot 509),Chai,99460
T00069,Doxycycline 5 ml (Viên nén - Lot 795),Doxycycline 5 ml (Vien nen - Lot 795),Tuýp,139810
